run_id,duration_days,final_vials,waste_vials,waste_cells,waste_vials_equivalent,waste_fraction,had_contamination,terminal_failure,failed_reason,total_media_l,max_passage,failures,violations,daily_metrics
0,7,10,3,3000000.0,3.0,0.23076923076923078,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1364641.273225786), 'flask_count': 1, 'avg_confluence': np.float64(0.054585650929031435), 'media_consumed': 65.0, 'run_id': 0}, {'day': 2, 'total_cells': np.float64(2064408.3732244726), 'flask_count': 1, 'avg_confluence': np.float64(0.08257633492897891), 'media_consumed': 65.0, 'run_id': 0}, {'day': 3, 'total_cells': np.float64(3115223.5908703553), 'flask_count': 1, 'avg_confluence': np.float64(0.12460894363481421), 'media_consumed': 65.0, 'run_id': 0}, {'day': 4, 'total_cells': np.float64(4674392.201154713), 'flask_count': 1, 'avg_confluence': np.float64(0.1869756880461885), 'media_consumed': 65.0, 'run_id': 0}, {'day': 5, 'total_cells': np.float64(6925911.120521026), 'flask_count': 1, 'avg_confluence': np.float64(0.27703644482084105), 'media_consumed': 65.0, 'run_id': 0}, {'day': 6, 'total_cells': np.float64(9987000.936116993), 'flask_count': 1, 'avg_confluence': np.float64(0.39948003744467975), 'media_consumed': 65.0, 'run_id': 0}, {'day': 7, 'total_cells': np.float64(13646331.139221), 'flask_count': 1, 'avg_confluence': np.float64(0.54585324556884), 'media_consumed': 65.0, 'run_id': 0}]"
1,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1528822.9292643971), 'flask_count': 1, 'avg_confluence': np.float64(0.06115291717057589), 'media_consumed': 65.0, 'run_id': 1}, {'day': 2, 'total_cells': np.float64(2311637.8089029244), 'flask_count': 1, 'avg_confluence': np.float64(0.09246551235611698), 'media_consumed': 65.0, 'run_id': 1}, {'day': 3, 'total_cells': np.float64(3484374.922295377), 'flask_count': 1, 'avg_confluence': np.float64(0.1393749968918151), 'media_consumed': 65.0, 'run_id': 1}, {'day': 4, 'total_cells': np.float64(5215077.038761516), 'flask_count': 1, 'avg_confluence': np.float64(0.20860308155046065), 'media_consumed': 65.0, 'run_id': 1}, {'day': 5, 'total_cells': np.float64(7684189.096722836), 'flask_count': 1, 'avg_confluence': np.float64(0.30736756386891345), 'media_consumed': 65.0, 'run_id': 1}, {'day': 6, 'total_cells': np.float64(10953521.657484584), 'flask_count': 1, 'avg_confluence': np.float64(0.43814086629938337), 'media_consumed': 65.0, 'run_id': 1}, {'day': 7, 'total_cells': np.float64(14655328.728954533), 'flask_count': 1, 'avg_confluence': np.float64(0.5862131491581813), 'media_consumed': 65.0, 'run_id': 1}]"
2,7,10,2,2000000.0,2.0,0.16666666666666666,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1180381.0404744903), 'flask_count': 1, 'avg_confluence': np.float64(0.04721524161897961), 'media_consumed': 65.0, 'run_id': 2}, {'day': 2, 'total_cells': np.float64(1786533.1747833737), 'flask_count': 1, 'avg_confluence': np.float64(0.07146132699133495), 'media_consumed': 65.0, 'run_id': 2}, {'day': 3, 'total_cells': np.float64(2698906.7908806223), 'flask_count': 1, 'avg_confluence': np.float64(0.10795627163522489), 'media_consumed': 65.0, 'run_id': 2}, {'day': 4, 'total_cells': np.float64(4059913.5457669296), 'flask_count': 1, 'avg_confluence': np.float64(0.1623965418306772), 'media_consumed': 65.0, 'run_id': 2}, {'day': 5, 'total_cells': np.float64(6049117.394316408), 'flask_count': 1, 'avg_confluence': np.float64(0.2419646957726563), 'media_consumed': 65.0, 'run_id': 2}, {'day': 6, 'total_cells': np.float64(8826472.177640919), 'flask_count': 1, 'avg_confluence': np.float64(0.35305888710563677), 'media_consumed': 65.0, 'run_id': 2}, {'day': 7, 'total_cells': np.float64(12337490.003297076), 'flask_count': 1, 'avg_confluence': np.float64(0.49349960013188304), 'media_consumed': 65.0, 'run_id': 2}]"
3,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1459472.6436184968), 'flask_count': 1, 'avg_confluence': np.float64(0.058378905744739876), 'media_consumed': 65.0, 'run_id': 3}, {'day': 2, 'total_cells': np.float64(2207253.114360691), 'flask_count': 1, 'avg_confluence': np.float64(0.08829012457442764), 'media_consumed': 65.0, 'run_id': 3}, {'day': 3, 'total_cells': np.float64(3328666.027977823), 'flask_count': 1, 'avg_confluence': np.float64(0.13314664111911292), 'media_consumed': 65.0, 'run_id': 3}, {'day': 4, 'total_cells': np.float64(4987525.103607712), 'flask_count': 1, 'avg_confluence': np.float64(0.1995010041443085), 'media_consumed': 65.0, 'run_id': 3}, {'day': 5, 'total_cells': np.float64(7366661.708915778), 'flask_count': 1, 'avg_confluence': np.float64(0.29466646835663113), 'media_consumed': 65.0, 'run_id': 3}, {'day': 6, 'total_cells': np.float64(10553205.951267602), 'flask_count': 1, 'avg_confluence': np.float64(0.4221282380507041), 'media_consumed': 65.0, 'run_id': 3}, {'day': 7, 'total_cells': np.float64(14246683.452390267), 'flask_count': 1, 'avg_confluence': np.float64(0.5698673380956106), 'media_consumed': 65.0, 'run_id': 3}]"
4,7,10,5,5000000.0,5.0,0.3333333333333333,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1624135.393277681), 'flask_count': 1, 'avg_confluence': np.float64(0.06496541573110724), 'media_consumed': 65.0, 'run_id': 4}, {'day': 2, 'total_cells': np.float64(2454986.6540354053), 'flask_count': 1, 'avg_confluence': np.float64(0.09819946616141621), 'media_consumed': 65.0, 'run_id': 4}, {'day': 3, 'total_cells': np.float64(3697819.3401654908), 'flask_count': 1, 'avg_confluence': np.float64(0.14791277360661964), 'media_consumed': 65.0, 'run_id': 4}, {'day': 4, 'total_cells': np.float64(5525725.672805572), 'flask_count': 1, 'avg_confluence': np.float64(0.22102902691222287), 'media_consumed': 65.0, 'run_id': 4}, {'day': 5, 'total_cells': np.float64(8113719.7613104675), 'flask_count': 1, 'avg_confluence': np.float64(0.3245487904524187), 'media_consumed': 65.0, 'run_id': 4}, {'day': 6, 'total_cells': np.float64(11484489.327934094), 'flask_count': 1, 'avg_confluence': np.float64(0.45937957311736377), 'media_consumed': 65.0, 'run_id': 4}, {'day': 7, 'total_cells': np.float64(15176577.308657667), 'flask_count': 1, 'avg_confluence': np.float64(0.6070630923463066), 'media_consumed': 65.0, 'run_id': 4}]"
5,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1519068.4200757244), 'flask_count': 1, 'avg_confluence': np.float64(0.060762736803028974), 'media_consumed': 65.0, 'run_id': 5}, {'day': 2, 'total_cells': np.float64(2296959.625504511), 'flask_count': 1, 'avg_confluence': np.float64(0.09187838502018043), 'media_consumed': 65.0, 'run_id': 5}, {'day': 3, 'total_cells': np.float64(3462493.7400739915), 'flask_count': 1, 'avg_confluence': np.float64(0.13849974960295966), 'media_consumed': 65.0, 'run_id': 5}, {'day': 4, 'total_cells': np.float64(5183146.488905817), 'flask_count': 1, 'avg_confluence': np.float64(0.2073258595562327), 'media_consumed': 65.0, 'run_id': 5}, {'day': 5, 'total_cells': np.float64(7639777.686687654), 'flask_count': 1, 'avg_confluence': np.float64(0.3055911074675062), 'media_consumed': 65.0, 'run_id': 5}, {'day': 6, 'total_cells': np.float64(10897923.416195747), 'flask_count': 1, 'avg_confluence': np.float64(0.4359169366478299), 'media_consumed': 65.0, 'run_id': 5}, {'day': 7, 'total_cells': np.float64(14599370.415319938), 'flask_count': 1, 'avg_confluence': np.float64(0.5839748166127975), 'media_consumed': 65.0, 'run_id': 5}]"
6,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1432068.166858717), 'flask_count': 1, 'avg_confluence': np.float64(0.05728272667434869), 'media_consumed': 65.0, 'run_id': 6}, {'day': 2, 'total_cells': np.float64(2165986.0301296785), 'flask_count': 1, 'avg_confluence': np.float64(0.08663944120518714), 'media_consumed': 65.0, 'run_id': 6}, {'day': 3, 'total_cells': np.float64(3267045.834235398), 'flask_count': 1, 'avg_confluence': np.float64(0.1306818333694159), 'media_consumed': 65.0, 'run_id': 6}, {'day': 4, 'total_cells': np.float64(4897265.159885716), 'flask_count': 1, 'avg_confluence': np.float64(0.19589060639542863), 'media_consumed': 65.0, 'run_id': 6}, {'day': 5, 'total_cells': np.float64(7240059.246095454), 'flask_count': 1, 'avg_confluence': np.float64(0.28960236984381815), 'media_consumed': 65.0, 'run_id': 6}, {'day': 6, 'total_cells': np.float64(10391801.089189569), 'flask_count': 1, 'avg_confluence': np.float64(0.41567204356758275), 'media_consumed': 65.0, 'run_id': 6}, {'day': 7, 'total_cells': np.float64(14078185.750937887), 'flask_count': 1, 'avg_confluence': np.float64(0.5631274300375154), 'media_consumed': 65.0, 'run_id': 6}]"
7,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1447881.9401446928), 'flask_count': 1, 'avg_confluence': np.float64(0.05791527760578771), 'media_consumed': 65.0, 'run_id': 7}, {'day': 2, 'total_cells': np.float64(2189800.4800860896), 'flask_count': 1, 'avg_confluence': np.float64(0.08759201920344359), 'media_consumed': 65.0, 'run_id': 7}, {'day': 3, 'total_cells': np.float64(3302609.9400565033), 'flask_count': 1, 'avg_confluence': np.float64(0.13210439760226014), 'media_consumed': 65.0, 'run_id': 7}, {'day': 4, 'total_cells': np.float64(4949372.886949883), 'flask_count': 1, 'avg_confluence': np.float64(0.1979749154779953), 'media_consumed': 65.0, 'run_id': 7}, {'day': 5, 'total_cells': np.float64(7313192.316313531), 'flask_count': 1, 'avg_confluence': np.float64(0.29252769265254125), 'media_consumed': 65.0, 'run_id': 7}, {'day': 6, 'total_cells': np.float64(10485161.14118154), 'flask_count': 1, 'avg_confluence': np.float64(0.4194064456472616), 'media_consumed': 65.0, 'run_id': 7}, {'day': 7, 'total_cells': np.float64(14175907.816392174), 'flask_count': 1, 'avg_confluence': np.float64(0.567036312655687), 'media_consumed': 65.0, 'run_id': 7}]"
8,7,10,3,3000000.0,3.0,0.23076923076923078,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1403176.2354621282), 'flask_count': 1, 'avg_confluence': np.float64(0.05612704941848513), 'media_consumed': 65.0, 'run_id': 8}, {'day': 2, 'total_cells': np.float64(2122468.0900472845), 'flask_count': 1, 'avg_confluence': np.float64(0.08489872360189138), 'media_consumed': 65.0, 'run_id': 8}, {'day': 3, 'total_cells': np.float64(3202027.1882414846), 'flask_count': 1, 'avg_confluence': np.float64(0.12808108752965938), 'media_consumed': 65.0, 'run_id': 8}, {'day': 4, 'total_cells': np.float64(4801902.432925732), 'flask_count': 1, 'avg_confluence': np.float64(0.19207609731702927), 'media_consumed': 65.0, 'run_id': 8}, {'day': 5, 'total_cells': np.float64(7105906.423180049), 'flask_count': 1, 'avg_confluence': np.float64(0.28423625692720195), 'media_consumed': 65.0, 'run_id': 8}, {'day': 6, 'total_cells': np.float64(10219677.966735834), 'flask_count': 1, 'avg_confluence': np.float64(0.40878711866943335), 'media_consumed': 65.0, 'run_id': 8}, {'day': 7, 'total_cells': np.float64(13896167.118742779), 'flask_count': 1, 'avg_confluence': np.float64(0.5558466847497111), 'media_consumed': 65.0, 'run_id': 8}]"
9,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1501850.2883529202), 'flask_count': 1, 'avg_confluence': np.float64(0.06007401153411681), 'media_consumed': 65.0, 'run_id': 9}, {'day': 2, 'total_cells': np.float64(2271047.1738792635), 'flask_count': 1, 'avg_confluence': np.float64(0.09084188695517054), 'media_consumed': 65.0, 'run_id': 9}, {'day': 3, 'total_cells': np.float64(3423854.017273785), 'flask_count': 1, 'avg_confluence': np.float64(0.1369541606909514), 'media_consumed': 65.0, 'run_id': 9}, {'day': 4, 'total_cells': np.float64(5126723.271076378), 'flask_count': 1, 'avg_confluence': np.float64(0.20506893084305514), 'media_consumed': 65.0, 'run_id': 9}, {'day': 5, 'total_cells': np.float64(7561183.614943172), 'flask_count': 1, 'avg_confluence': np.float64(0.3024473445977269), 'media_consumed': 65.0, 'run_id': 9}, {'day': 6, 'total_cells': np.float64(10799217.25894373), 'flask_count': 1, 'avg_confluence': np.float64(0.43196869035774915), 'media_consumed': 65.0, 'run_id': 9}, {'day': 7, 'total_cells': np.float64(14499389.009200541), 'flask_count': 1, 'avg_confluence': np.float64(0.5799755603680217), 'media_consumed': 65.0, 'run_id': 9}]"
10,7,10,5,5000000.0,5.0,0.3333333333333333,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1642589.4687924185), 'flask_count': 1, 'avg_confluence': np.float64(0.06570357875169675), 'media_consumed': 65.0, 'run_id': 10}, {'day': 2, 'total_cells': np.float64(2482725.57421241), 'flask_count': 1, 'avg_confluence': np.float64(0.0993090229684964), 'media_consumed': 65.0, 'run_id': 10}, {'day': 3, 'total_cells': np.float64(3739068.5316947573), 'flask_count': 1, 'avg_confluence': np.float64(0.1495627412677903), 'media_consumed': 65.0, 'run_id': 10}, {'day': 4, 'total_cells': np.float64(5585583.3585903905), 'flask_count': 1, 'avg_confluence': np.float64(0.2234233343436156), 'media_consumed': 65.0, 'run_id': 10}, {'day': 5, 'total_cells': np.float64(8195942.435321087), 'flask_count': 1, 'avg_confluence': np.float64(0.32783769741284347), 'media_consumed': 65.0, 'run_id': 10}, {'day': 6, 'total_cells': np.float64(11584706.93550328), 'flask_count': 1, 'avg_confluence': np.float64(0.46338827742013117), 'media_consumed': 65.0, 'run_id': 10}, {'day': 7, 'total_cells': np.float64(15272258.16744208), 'flask_count': 1, 'avg_confluence': np.float64(0.6108903266976832), 'media_consumed': 65.0, 'run_id': 10}]"
11,7,10,5,5000000.0,5.0,0.3333333333333333,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1775586.963743672), 'flask_count': 1, 'avg_confluence': np.float64(0.07102347854974687), 'media_consumed': 65.0, 'run_id': 11}, {'day': 2, 'total_cells': np.float64(2682479.151089873), 'flask_count': 1, 'avg_confluence': np.float64(0.10729916604359492), 'media_consumed': 65.0, 'run_id': 11}, {'day': 3, 'total_cells': np.float64(4035572.6756838434), 'flask_count': 1, 'avg_confluence': np.float64(0.16142290702735373), 'media_consumed': 65.0, 'run_id': 11}, {'day': 4, 'total_cells': np.float64(6014082.448113827), 'flask_count': 1, 'avg_confluence': np.float64(0.24056329792455308), 'media_consumed': 65.0, 'run_id': 11}, {'day': 5, 'total_cells': np.float64(8779208.420494953), 'flask_count': 1, 'avg_confluence': np.float64(0.35116833681979814), 'media_consumed': 65.0, 'run_id': 11}, {'day': 6, 'total_cells': np.float64(12282046.915245205), 'flask_count': 1, 'avg_confluence': np.float64(0.4912818766098082), 'media_consumed': 65.0, 'run_id': 11}, {'day': 7, 'total_cells': np.float64(15913795.93579868), 'flask_count': 1, 'avg_confluence': np.float64(0.6365518374319472), 'media_consumed': 65.0, 'run_id': 11}]"
12,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1563415.0301905477), 'flask_count': 1, 'avg_confluence': np.float64(0.0625366012076219), 'media_consumed': 65.0, 'run_id': 12}, {'day': 2, 'total_cells': np.float64(2363679.4742672914), 'flask_count': 1, 'avg_confluence': np.float64(0.09454717897069166), 'media_consumed': 65.0, 'run_id': 12}, {'day': 3, 'total_cells': np.float64(3561917.1053985883), 'flask_count': 1, 'avg_confluence': np.float64(0.14247668421594353), 'media_consumed': 65.0, 'run_id': 12}, {'day': 4, 'total_cells': np.float64(5328107.02362542), 'flask_count': 1, 'avg_confluence': np.float64(0.21312428094501681), 'media_consumed': 65.0, 'run_id': 12}, {'day': 5, 'total_cells': np.float64(7841012.582200769), 'flask_count': 1, 'avg_confluence': np.float64(0.3136405032880308), 'media_consumed': 65.0, 'run_id': 12}, {'day': 6, 'total_cells': np.float64(11148809.492428472), 'flask_count': 1, 'avg_confluence': np.float64(0.4459523796971389), 'media_consumed': 65.0, 'run_id': 12}, {'day': 7, 'total_cells': np.float64(14849822.976366214), 'flask_count': 1, 'avg_confluence': np.float64(0.5939929190546486), 'media_consumed': 65.0, 'run_id': 12}]"
13,7,10,6,6000000.0,6.0,0.375,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1816324.4992026559), 'flask_count': 1, 'avg_confluence': np.float64(0.07265297996810624), 'media_consumed': 65.0, 'run_id': 13}, {'day': 2, 'total_cells': np.float64(2743606.2005708134), 'flask_count': 1, 'avg_confluence': np.float64(0.10974424802283253), 'media_consumed': 65.0, 'run_id': 13}, {'day': 3, 'total_cells': np.float64(4126110.21608972), 'flask_count': 1, 'avg_confluence': np.float64(0.1650444086435888), 'media_consumed': 65.0, 'run_id': 13}, {'day': 4, 'total_cells': np.float64(6144285.187995872), 'flask_count': 1, 'avg_confluence': np.float64(0.2457714075198349), 'media_consumed': 65.0, 'run_id': 13}, {'day': 5, 'total_cells': np.float64(8954524.469391897), 'flask_count': 1, 'avg_confluence': np.float64(0.3581809787756759), 'media_consumed': 65.0, 'run_id': 13}, {'day': 6, 'total_cells': np.float64(12486883.594506724), 'flask_count': 1, 'avg_confluence': np.float64(0.499475343780269), 'media_consumed': 65.0, 'run_id': 13}, {'day': 7, 'total_cells': np.float64(16094079.556547629), 'flask_count': 1, 'avg_confluence': np.float64(0.6437631822619051), 'media_consumed': 65.0, 'run_id': 13}]"
14,7,10,5,5000000.0,5.0,0.3333333333333333,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1664738.7852009875), 'flask_count': 1, 'avg_confluence': np.float64(0.0665895514080395), 'media_consumed': 65.0, 'run_id': 14}, {'day': 2, 'total_cells': np.float64(2516011.974347963), 'flask_count': 1, 'avg_confluence': np.float64(0.10064047897391852), 'media_consumed': 65.0, 'run_id': 14}, {'day': 3, 'total_cells': np.float64(3788543.5026745284), 'flask_count': 1, 'avg_confluence': np.float64(0.15154174010698113), 'media_consumed': 65.0, 'run_id': 14}, {'day': 4, 'total_cells': np.float64(5657300.171597265), 'flask_count': 1, 'avg_confluence': np.float64(0.2262920068638906), 'media_consumed': 65.0, 'run_id': 14}, {'day': 5, 'total_cells': np.float64(8294219.073492698), 'flask_count': 1, 'avg_confluence': np.float64(0.3317687629397079), 'media_consumed': 65.0, 'run_id': 14}, {'day': 6, 'total_cells': np.float64(11703880.573625863), 'flask_count': 1, 'avg_confluence': np.float64(0.4681552229450345), 'media_consumed': 65.0, 'run_id': 14}, {'day': 7, 'total_cells': np.float64(15384906.999068685), 'flask_count': 1, 'avg_confluence': np.float64(0.6153962799627474), 'media_consumed': 65.0, 'run_id': 14}]"
15,7,10,4,4000000.0,4.0,0.2857142857142857,False,False,,0.08,3,[],[],"[{'day': 1, 'total_cells': np.float64(1576129.7701084642), 'flask_count': 1, 'avg_confluence': np.float64(0.06304519080433857), 'media_consumed': 65.0, 'run_id': 15}, {'day': 2, 'total_cells': np.float64(2382803.603395276), 'flask_count': 1, 'avg_confluence': np.float64(0.09531214413581103), 'media_consumed': 65.0, 'run_id': 15}, {'day': 3, 'total_cells': np.float64(3590397.101524742), 'flask_count': 1, 'avg_confluence': np.float64(0.14361588406098968), 'media_consumed': 65.0, 'run_id': 15}, {'day': 4, 'total_cells': np.float64(5369571.596154969), 'flask_count': 1, 'avg_confluence': np.float64(0.21478286384619877), 'media_consumed': 65.0, 'run_id': 15}, {'day': 5, 'total_cells': np.float64(7898389.64389574), 'flask_count': 1, 'avg_confluence': np.float64(0.3159355857558296), 'media_consumed': 65.0, 'run_id': 15}, {'day': 6, 'total_cells': np.float64(11219851.702350812), 'flask_count': 1, 'avg_confluence': np.float64(0.4487940680940325), 'media_consumed': 65.0, 'run_id': 15}, {'day': 7, 'total_cells': np.float64(14919777.275598016), 'flask_count': 1, 'avg_confluence': np.float64(0.5967910910239206), 'media_consumed': 65.0, 'run_id': 15}]"
